sample	genotype	Adapter	directory	file_prefix
BW_endo1	B73xW22 	1	/home/springer/data_release/umgc/hiseq/180927_D00635_0413_BCCTE5ANXX/Springer_Project_064	SNA_Pool7_Index1_S15
BW_endo2	B73xW22 	2	/home/springer/data_release/umgc/hiseq/180927_D00635_0413_BCCTE5ANXX/Springer_Project_064	SNA_Pool7_Index2_S16
BW_endo3	B73xW22 	3	/home/springer/data_release/umgc/hiseq/180927_D00635_0413_BCCTE5ANXX/Springer_Project_064	SNA_Pool7_Index3_S17
PB_endo1	PH207xB73	4	/home/springer/data_release/umgc/hiseq/180927_D00635_0413_BCCTE5ANXX/Springer_Project_064	SNA_Pool7_Index4_S18
PB_endo2	PH207xB73	5	/home/springer/data_release/umgc/hiseq/180927_D00635_0413_BCCTE5ANXX/Springer_Project_064	SNA_Pool7_Index5_S19
PB_endo3	PH207xB73	6	/home/springer/data_release/umgc/hiseq/180927_D00635_0413_BCCTE5ANXX/Springer_Project_064	SNA_Pool7_Index6_S20
BP_endo1	B73xPH207	7	/home/springer/data_release/umgc/hiseq/180927_D00635_0413_BCCTE5ANXX/Springer_Project_064	SNA_Pool7_Index7_S21
BP_endo2	B73xPH207	8	/home/springer/data_release/umgc/hiseq/180927_D00635_0413_BCCTE5ANXX/Springer_Project_064	SNA_Pool7_Index8_S22
BP_endo3	B73xPH207	9	/home/springer/data_release/umgc/hiseq/180927_D00635_0413_BCCTE5ANXX/Springer_Project_064	SNA_Pool7_Index9_S23
PW_endo1	PH207xW22	10	/home/springer/data_release/umgc/hiseq/180927_D00635_0413_BCCTE5ANXX/Springer_Project_064	SNA_Pool7_Index10_S24
PW_endo2	PH207xW22	11	/home/springer/data_release/umgc/hiseq/180927_D00635_0413_BCCTE5ANXX/Springer_Project_064	SNA_Pool7_Index11_S25
PW_endo3	PH207xW22	12	/home/springer/data_release/umgc/hiseq/180927_D00635_0413_BCCTE5ANXX/Springer_Project_064	SNA_Pool7_Index12_S26
WB_endo1	W22xB73	13	/home/springer/data_release/umgc/hiseq/180927_D00635_0413_BCCTE5ANXX/Springer_Project_064	SNA_Pool7_Index13_S27
WB_endo2	W22xB73	14	/home/springer/data_release/umgc/hiseq/180927_D00635_0413_BCCTE5ANXX/Springer_Project_064	SNA_Pool7_Index14_S28
WB_endo3	W22xB73	23	/home/springer/data_release/umgc/hiseq/180927_D00635_0413_BCCTE5ANXX/Springer_Project_064	SNA_Pool7_Index23_S33
WP_endo1	W22xPH207	25	/home/springer/data_release/umgc/hiseq/180927_D00635_0413_BCCTE5ANXX/Springer_Project_064	SNA_Pool7_Index25_S34
WP_endo2	W22xPH207	27	/home/springer/data_release/umgc/hiseq/180927_D00635_0413_BCCTE5ANXX/Springer_Project_064	SNA_Pool7_Index27_S35
WP_endo3	W22xPH207	19	/home/springer/data_release/umgc/hiseq/180927_D00635_0413_BCCTE5ANXX/Springer_Project_064	SNA_Pool7_Index19_S29
