gene	TE
Zm00001d027240	DHH00002Zm00001d06096
Zm00001d027244	DHH00002Zm00001d06097
Zm00001d027242	DHH00002Zm00001d06097
Zm00001d027279	DHH00002Zm00001d00396
Zm00001d027303	DHH00002Zm00001d06103
Zm00001d027360	DHH00002Zm00001d00401
Zm00001d027379	DHH00002Zm00001d06105
Zm00001d027414	DHH00002Zm00001d06109
Zm00001d027417	DHH00002Zm00001d06110
Zm00001d027475	DHH00002Zm00001d00408
Zm00001d027476	RLC00002Zm00001d13443
Zm00001d027476	RLC00014Zm00001d00819
Zm00001d027495	DHH00002Zm00001d00409
Zm00001d027497	DTH00154Zm00001d00298
Zm00001d027497	DHH00002Zm00001d06112
Zm00001d027528	DHH00002Zm00001d06120
Zm00001d027545	DHH00002Zm00001d06122
Zm00001d027569	DHH00002Zm00001d00412
Zm00001d027571	RLX20761Zm00001d00001
Zm00001d027583	DHH00002Zm00001d06123
Zm00001d027591	DHH00002Zm00001d06125
Zm00001d027592	DHH00002Zm00001d06125
Zm00001d027615	DHH00002Zm00001d00415
Zm00001d027619	DHH00003Zm00001d00209
Zm00001d027631	DHH00002Zm00001d06126
Zm00001d027696	RLX15423Zm00001d00001
Zm00001d027697	RLX15423Zm00001d00001
Zm00001d027698	RLX15423Zm00001d00001
Zm00001d027698	DHH00002Zm00001d00418
Zm00001d027713	DHH00002Zm00001d00419
Zm00001d027725	DHH00002Zm00001d00420
Zm00001d027745	DHH00002Zm00001d00421
Zm00001d027754	DHH00002Zm00001d00422
Zm00001d027761	DHH00002Zm00001d00424
Zm00001d027762	DHH00002Zm00001d00424
Zm00001d027775	RLX19022Zm00001d00001
Zm00001d027788	RLC00391Zm00001d00005
Zm00001d027789	RLC00391Zm00001d00005
Zm00001d027789	DHH00002Zm00001d00427
Zm00001d027792	RLX15410Zm00001d00001
Zm00001d027794	RLX20758Zm00001d00001
Zm00001d027795	RLX20758Zm00001d00001
Zm00001d027797	RLX20758Zm00001d00001
Zm00001d027794	RLX24721Zm00001d00001
Zm00001d027795	RLX24721Zm00001d00001
Zm00001d027794	DHH00002Zm00001d06143
Zm00001d027840	RLX14021Zm00001dS0001
Zm00001d027849	DHH00002Zm00001d06148
Zm00001d027858	RLC24717Zm00001d00001
Zm00001d027882	RLX15392Zm00001d00001
Zm00001d027927	DHH00002Zm00001d00437
Zm00001d027940	DHH00002Zm00001d06159
Zm00001d027948	DHH00029Zm00001d00037
Zm00001d027974	RLC00662Zm00001d00003
Zm00001d028001	DHH00002Zm00001d06164
Zm00001d028014	RLC00002Zm00001d10393
Zm00001d028016	DHH00002Zm00001d00443
Zm00001d028021	DHH00002Zm00001d06165
Zm00001d028028	DHH00002Zm00001d06167
Zm00001d028030	DHH00002Zm00001d06167
Zm00001d028042	DHH00002Zm00001d00445
Zm00001d028068	RLG19019Zm00001d00001
Zm00001d028070	RLX03388Zm00001d00002
Zm00001d028076	RLX00425Zm00001d00007
Zm00001d028076	RLC00002Zm00001d13455
Zm00001d028079	RLC00002Zm00001d15260
Zm00001d028080	RLC00002Zm00001d15260
Zm00001d028082	RLC00002Zm00001d15260
Zm00001d028083	RLC00002Zm00001d15260
Zm00001d028077	RLC00002Zm00001d15260
Zm00001d028081	RLC00002Zm00001d15260
Zm00001d028079	RLG00005Zm00001d04202
Zm00001d028080	RLG00005Zm00001d04202
Zm00001d028082	RLG00005Zm00001d04202
Zm00001d028083	RLG00005Zm00001d04202
Zm00001d028077	RLG00005Zm00001d04202
Zm00001d028081	RLG00005Zm00001d04202
Zm00001d028119	DHH00002Zm00001d00450
Zm00001d028141	DHH00002Zm00001d06174
Zm00001d028142	DHH00002Zm00001d06174
Zm00001d028150	RLG24700Zm00001d00001
Zm00001d028168	DHH00002Zm00001d00457
Zm00001d028179	DHH00002Zm00001d00458
Zm00001d028184	DHH00002Zm00001d00459
Zm00001d028200	DHH00002Zm00001d00460
Zm00001d028206	DHH00002Zm00001d06177
Zm00001d028215	DHH00002Zm00001d00464
Zm00001d028233	DHH00002Zm00001d00465
Zm00001d028276	DHH00002Zm00001d00471
Zm00001d028277	DHH00021Zm00001d00084
Zm00001d028295	DHH00002Zm00001d00474
Zm00001d028305	DHH00002Zm00001d06183
Zm00001d028314	RLX19018Zm00001d00001
Zm00001d028315	RLX19018Zm00001d00001
Zm00001d028313	RLX19018Zm00001d00001
Zm00001d028318	DHH00002Zm00001d00477
Zm00001d028336	DHH00002Zm00001d00478
Zm00001d028340	RLC00004Zm00001d12039
Zm00001d028341	RLC00004Zm00001d12039
Zm00001d028341	RLX20751Zm00001d00001
Zm00001d028351	DHH00002Zm00001d06188
Zm00001d028379	DHH00002Zm00001d06192
Zm00001d028382	DHH00002Zm00001d06193
Zm00001d028390	RLC00002Zm00001d13475
Zm00001d028393	DHH00002Zm00001d06194
Zm00001d028394	DHH00002Zm00001d06194
Zm00001d028395	DHH00002Zm00001d06194
Zm00001d028433	DHH02297Zm00001d00001
Zm00001d028434	DHH00002Zm00001d00490
Zm00001d028441	DHH00002Zm00001d06197
Zm00001d028461	DHH00002Zm00001d06199
Zm00001d028480	RLG00001Zm00001d15163
Zm00001d028489	DHH00002Zm00001d00499
Zm00001d028508	DHH00002Zm00001d00501
Zm00001d028521	DHH00002Zm00001d00502
Zm00001d028525	DHH00002Zm00001d06208
Zm00001d028552	DHH00454Zm00001d00001
Zm00001d028555	RLX19017Zm00001d00001
Zm00001d028556	RLX19017Zm00001d00001
Zm00001d028582	DHH00002Zm00001d06210
Zm00001d028609	DHH00002Zm00001d00506
Zm00001d028620	DTX12961Zm00001d00397
Zm00001d028659	DHH00002Zm00001d06217
Zm00001d028678	DHH00002Zm00001d00514
Zm00001d028732	DHH00002Zm00001d06222
Zm00001d028735	DHH00002Zm00001d00519
