feature	motif1	motif2	motif.type	feature_type
Zm00001d000002	1	0	motif1	gene
Zm00001d000005	0	1	motif2	gene
Zm00001d000009	1	6	both	gene
Zm00001d000011	1	0	motif1	gene
Zm00001d000023	0	1	motif2	gene
Zm00001d000027	1	1	both	gene
Zm00001d000029	2	0	motif1	gene
Zm00001d000030	1	1	both	gene
Zm00001d000034	0	1	motif2	gene
Zm00001d000038	0	1	motif2	gene
Zm00001d000040	2	2	both	gene
Zm00001d000042	1	2	both	gene
Zm00001d000046	1	0	motif1	gene
Zm00001d000052	1	0	motif1	gene
Zm00001d000053	1	1	both	gene
Zm00001d000058	0	1	motif2	gene
Zm00001d000064	0	1	motif2	gene
Zm00001d000070	2	0	motif1	gene
Zm00001d000071	3	1	both	gene
Zm00001d000072	2	0	motif1	gene
Zm00001d000074	2	0	motif1	gene
Zm00001d000080	2	0	motif1	gene
Zm00001d000081	0	1	motif2	gene
Zm00001d000083	3	1	both	gene
Zm00001d000094	0	1	motif2	gene
Zm00001d000095	0	1	motif2	gene
Zm00001d000098	0	2	motif2	gene
Zm00001d000101	1	0	motif1	gene
Zm00001d000110	1	1	both	gene
Zm00001d000113	1	0	motif1	gene
Zm00001d000118	1	0	motif1	gene
Zm00001d000120	0	1	motif2	gene
Zm00001d000122	1	0	motif1	gene
Zm00001d000123	0	1	motif2	gene
Zm00001d000126	0	2	motif2	gene
Zm00001d000137	0	1	motif2	gene
Zm00001d000142	0	1	motif2	gene
Zm00001d000143	0	1	motif2	gene
Zm00001d000150	2	1	both	gene
Zm00001d000153	1	0	motif1	gene
Zm00001d000162	1	0	motif1	gene
Zm00001d000166	2	1	both	gene
Zm00001d000169	2	0	motif1	gene
Zm00001d000170	1	0	motif1	gene
Zm00001d000186	1	0	motif1	gene
Zm00001d000188	1	1	both	gene
Zm00001d000189	4	2	both	gene
Zm00001d000191	1	3	both	gene
Zm00001d000193	1	0	motif1	gene
Zm00001d000195	1	0	motif1	gene
Zm00001d000196	1	0	motif1	gene
Zm00001d000199	1	0	motif1	gene
Zm00001d000205	0	1	motif2	gene
Zm00001d000213	1	1	both	gene
Zm00001d000214	1	0	motif1	gene
Zm00001d000224	1	0	motif1	gene
Zm00001d000226	1	0	motif1	gene
Zm00001d000231	2	0	motif1	gene
Zm00001d000233	1	0	motif1	gene
Zm00001d000236	0	1	motif2	gene
Zm00001d000240	1	1	both	gene
Zm00001d000241	1	0	motif1	gene
Zm00001d000247	2	0	motif1	gene
Zm00001d000250	3	0	motif1	gene
Zm00001d000255	0	1	motif2	gene
Zm00001d000257	0	2	motif2	gene
Zm00001d000260	1	0	motif1	gene
Zm00001d000270	2	3	both	gene
Zm00001d000277	1	0	motif1	gene
Zm00001d000291	0	1	motif2	gene
Zm00001d000294	0	1	motif2	gene
Zm00001d000295	0	1	motif2	gene
Zm00001d000296	3	0	motif1	gene
Zm00001d000298	1	0	motif1	gene
Zm00001d000304	1	1	both	gene
Zm00001d000307	1	0	motif1	gene
Zm00001d000311	1	2	both	gene
Zm00001d000313	0	3	motif2	gene
Zm00001d000314	0	1	motif2	gene
Zm00001d000321	1	0	motif1	gene
Zm00001d000324	0	1	motif2	gene
Zm00001d000325	1	0	motif1	gene
Zm00001d000326	1	0	motif1	gene
Zm00001d000329	1	1	both	gene
Zm00001d000344	1	0	motif1	gene
Zm00001d000345	1	2	both	gene
Zm00001d000349	0	2	motif2	gene
Zm00001d000350	0	1	motif2	gene
Zm00001d000355	1	1	both	gene
Zm00001d000357	2	0	motif1	gene
Zm00001d000361	1	2	both	gene
Zm00001d000370	2	0	motif1	gene
Zm00001d000377	1	0	motif1	gene
Zm00001d000381	0	3	motif2	gene
Zm00001d000382	1	1	both	gene
Zm00001d000383	2	0	motif1	gene
Zm00001d000384	1	0	motif1	gene
Zm00001d000396	1	1	both	gene
Zm00001d000401	0	1	motif2	gene
Zm00001d000407	0	3	motif2	gene
Zm00001d000409	2	0	motif1	gene
Zm00001d000412	0	1	motif2	gene
Zm00001d000419	0	1	motif2	gene
Zm00001d000425	0	2	motif2	gene
Zm00001d000430	0	3	motif2	gene
Zm00001d000432	2	1	both	gene
Zm00001d000435	2	0	motif1	gene
Zm00001d000436	2	3	both	gene
Zm00001d000439	0	1	motif2	gene
Zm00001d000445	1	0	motif1	gene
Zm00001d000448	0	1	motif2	gene
Zm00001d000449	0	1	motif2	gene
Zm00001d000452	0	1	motif2	gene
Zm00001d000463	2	0	motif1	gene
Zm00001d000467	0	1	motif2	gene
Zm00001d000468	1	0	motif1	gene
Zm00001d000469	0	1	motif2	gene
Zm00001d000472	2	0	motif1	gene
Zm00001d000477	4	5	both	gene
Zm00001d000485	3	0	motif1	gene
Zm00001d000489	1	0	motif1	gene
Zm00001d000497	1	0	motif1	gene
Zm00001d000498	1	0	motif1	gene
Zm00001d000499	1	0	motif1	gene
Zm00001d000500	1	0	motif1	gene
Zm00001d000502	0	1	motif2	gene
Zm00001d000504	1	6	both	gene
Zm00001d000523	1	0	motif1	gene
Zm00001d000524	12	9	both	gene
Zm00001d000525	1	0	motif1	gene
Zm00001d000526	2	0	motif1	gene
Zm00001d000534	0	1	motif2	gene
Zm00001d000553	0	1	motif2	gene
Zm00001d000554	1	0	motif1	gene
Zm00001d000560	2	0	motif1	gene
Zm00001d000565	5	2	both	gene
