feature	filter.imprint.BW	syntelog.BW	imprinted.both.BW	filter.imprint.BP	syntelog.BP	feature_type	imprint	syntelog	agreement	expression.type	motif1	motif2	motif.type	either.motif	imprint.syntelog	syntenic.grasses	has.go.term
DHH00001Zm00001d00360	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d00454	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d00928	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d00990	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d01015	MEG	na.te	na.te	not.detected	NA	TE	matTE	variable	mismatched_call	endo.preferred	FALSE	TRUE	motif2	has.motif	matTE_variable	NA.TE	NA
DHH00001Zm00001d01231	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d01669	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d01824	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d02298	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	TRUE	motif2	has.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d02437	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	TRUE	motif2	has.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d02647	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d03177	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	TRUE	motif2	has.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d03494	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d04028	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d04469	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d04613	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	endo.preferred	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d05240	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d05797	MEG	na.te	na.te	MEG	na.te	TE	matTE	variable	matched.call	endo.preferred	TRUE	FALSE	motif1	has.motif	matTE_variable	NA.TE	NA
DHH00001Zm00001d06468	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d06496	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d06665	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d06879	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	TRUE	both	has.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d06914	not.detected	NA	NA	no.imprint	na.te	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d06986	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	endo.preferred	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d07287	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d08235	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	FALSE	motif1	has.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d08244	no.imprint	na.te	na.te	no.imprint	na.te	TE	no.imprint	variable	matched.call	constitutive	FALSE	FALSE	no.motif	no.motif	no.imprint_variable	NA.TE	NA
DHH00001Zm00001d09025	not.detected	NA	NA	MEG	na.te	TE	matTE	variable	mismatched_call	endo.preferred	FALSE	FALSE	no.motif	no.motif	matTE_variable	NA.TE	NA
DHH00001Zm00001d09238	no.imprint	na.te	na.te	not.detected	NA	TE	no.imprint	variable	mismatched_call	constitutive	TRUE	TRUE	both	has.motif	no.imprint_variable	NA.TE	NA
